Using device: cuda

Loading language model and tokenizer...
Loading embedding model and tokenizer...
Loading dataset...
Original data size: 36718
Filtered data size: 17148
Total (filtered) data points: 17148
Reference data points (15%): 2572
Training data points (68%): 11644
Validation data points (17%): 2911

Creating training and validation sequences...
Holdout evaluation before iterations:
Prompt:  However , as Hung notes , he " is the only Chinese poet whose influence grew with time " , and his works began to increase in popularity in the ninth century . Early positive comments came from Bai Juyi , who praised the moral sentiments of some of Du Fu 's works ( although he found these in only a
Candidate 1:  few places of the country ), , in which "the poetry becomes more romantic and self-conscious rather than full-fledged poetry". .

The late Nineteenth–First Century of Chinese Literature, China, a very fine century of Chinese poets, was dominated by many Chinese poets ( among them Gao Tengf
Candidate 2:  vague sense ).

The book, The Long History of the Song Hao (1st English 1570), was published by the American American College of Artists in September 1571. The author, who was once president of the United States of America, praised the great work of Du Fu 's successor in Japan as
Candidate 3:  brief period of time ) , as well as general admirers. A number of influential Chinese poets published works like " The Great Chinese Song". Another noteworthy poem for the Chinese poetry of the seventeenth century was " The Golden Song" by Li Ling (or " the Golden Song", Chinese for " golden orchid") ,
Prompt:  In 2000 Boulter had a guest @-@ starring role on the television series The Bill ; he portrayed " Scott Parry " in the episode , " In Safe Hands " . Boulter starred as " Scott " in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court
Candidate 1: .  and in 1997 " Herons was featured on the film "The Man with the Dragon Tattoo" , which is credited with promoting the story of Herons''.  In 2002 boulter starring as " Sarah  in the " Sarah - s "  season  was featured in the television miniseries "
Candidate 2:  of Versailles " ". (Sheikh)

In March 2003, Boulter was cast as " Sheik" in the play "Farewell " with " Vadim " " in the role .

He has also starred in the play "The Man Who Died" as both " She
Candidate 3: 

In 1982 He also played an American as Dr. Jack Homan , and in 1985 also played a native American in New York , as well as a Spanish native as   Marjorie " in the musical Herons , and in 1987 he played a native Spanish American in a play He " . He also
Prompt:  He had a recurring role in 2003 on two episodes of The Bill , as character " Connor Price " . In 2004 Boulter landed a role as " Craig " in the episode " Teddy 's Story " of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . Boulter
Candidate 1: 's real name is James Wylie & was born in Chicago, Illinois and moved to New Zealand in 1962. In 1976, Boulter graduated from Southern Illinois University with a degree in political science. He then began his career as an instructor at the University of Maryland. He also worked at the Harvard University Medical School
Candidate 2:  was a cast member on the show during the 1980s.

On October 29th 2000 John Kivira won the first ever Golden Globe for his portrayal of the character of " The Doctor " . He returned for his second outing in 2000 , to play  the Doctor  in a film about The Doctor, starring
Candidate 3:  also worked as The Great British Bake Off's host in 2010, and in 2012, was confirmed as the winner of the ITV soap opera, The Cooked by Chris, which aired on Sky News. Boulter was originally introduced in the episode " The Last Straw " on 4 July 2013.

Boulter
Fine-tuning Model 0 on initial training data...
{'loss': 3.8095, 'grad_norm': 18.599742889404297, 'learning_rate': 4.644832605531296e-05, 'epoch': 0.21}
{'loss': 3.8317, 'grad_norm': 19.55821990966797, 'learning_rate': 4.637554585152838e-05, 'epoch': 0.22}
{'loss': 3.6678, 'grad_norm': 19.406389236450195, 'learning_rate': 4.630276564774382e-05, 'epoch': 0.22}
{'loss': 3.7642, 'grad_norm': 18.10866355895996, 'learning_rate': 4.622998544395924e-05, 'epoch': 0.23}
{'loss': 3.8405, 'grad_norm': 20.989490509033203, 'learning_rate': 4.6157205240174674e-05, 'epoch': 0.23}
{'loss': 3.6924, 'grad_norm': 18.192672729492188, 'learning_rate': 4.6084425036390105e-05, 'epoch': 0.24}
{'loss': 3.6994, 'grad_norm': 16.369365692138672, 'learning_rate': 4.6011644832605535e-05, 'epoch': 0.24}
{'loss': 3.8377, 'grad_norm': 21.442951202392578, 'learning_rate': 4.5938864628820966e-05, 'epoch': 0.24}
{'loss': 3.6778, 'grad_norm': 19.694623947143555, 'learning_rate': 4.586608442503639e-05, 'epoch': 0.25}
{'loss': 3.8087, 'grad_norm': 21.766986846923828, 'learning_rate': 4.579330422125182e-05, 'epoch': 0.25}
{'loss': 3.5982, 'grad_norm': 17.505422592163086, 'learning_rate': 4.572052401746725e-05, 'epoch': 0.26}
{'loss': 3.917, 'grad_norm': 18.597192764282227, 'learning_rate': 4.564774381368268e-05, 'epoch': 0.26}
{'loss': 3.5131, 'grad_norm': 17.640289306640625, 'learning_rate': 4.557496360989811e-05, 'epoch': 0.27}
{'loss': 3.7357, 'grad_norm': 18.913795471191406, 'learning_rate': 4.5502183406113544e-05, 'epoch': 0.27}
{'loss': 3.862, 'grad_norm': 16.06549835205078, 'learning_rate': 4.542940320232897e-05, 'epoch': 0.28}
{'loss': 3.8219, 'grad_norm': 16.932025909423828, 'learning_rate': 4.535662299854439e-05, 'epoch': 0.28}
{'loss': 3.6825, 'grad_norm': 16.46402931213379, 'learning_rate': 4.528384279475983e-05, 'epoch': 0.28}
{'loss': 3.8401, 'grad_norm': 17.74212646484375, 'learning_rate': 4.5211062590975254e-05, 'epoch': 0.29}
{'loss': 3.8312, 'grad_norm': 19.637836456298828, 'learning_rate': 4.513828238719069e-05, 'epoch': 0.29}
{'loss': 3.8402, 'grad_norm': 19.7362060546875, 'learning_rate': 4.5065502183406116e-05, 'epoch': 0.3}
{'loss': 3.7516, 'grad_norm': 17.131332397460938, 'learning_rate': 4.4992721979621547e-05, 'epoch': 0.3}
{'loss': 3.9285, 'grad_norm': 17.753341674804688, 'learning_rate': 4.491994177583698e-05, 'epoch': 0.31}
{'loss': 3.7626, 'grad_norm': 20.004404067993164, 'learning_rate': 4.48471615720524e-05, 'epoch': 0.31}
{'loss': 3.7772, 'grad_norm': 17.909069061279297, 'learning_rate': 4.477438136826783e-05, 'epoch': 0.31}
{'loss': 3.9038, 'grad_norm': 16.94474983215332, 'learning_rate': 4.470160116448326e-05, 'epoch': 0.32}
{'loss': 3.7848, 'grad_norm': 18.09880256652832, 'learning_rate': 4.4628820960698694e-05, 'epoch': 0.32}
{'loss': 3.7014, 'grad_norm': 18.453474044799805, 'learning_rate': 4.455604075691412e-05, 'epoch': 0.33}
{'loss': 3.7467, 'grad_norm': 19.186309814453125, 'learning_rate': 4.448326055312955e-05, 'epoch': 0.33}
{'loss': 3.7966, 'grad_norm': 17.042762756347656, 'learning_rate': 4.441048034934498e-05, 'epoch': 0.34}
{'loss': 3.7247, 'grad_norm': 16.389944076538086, 'learning_rate': 4.433770014556041e-05, 'epoch': 0.34}
{'loss': 3.7659, 'grad_norm': 17.510120391845703, 'learning_rate': 4.426491994177584e-05, 'epoch': 0.34}
{'loss': 3.8129, 'grad_norm': 16.892446517944336, 'learning_rate': 4.4192139737991265e-05, 'epoch': 0.35}
{'loss': 3.6943, 'grad_norm': 18.78052520751953, 'learning_rate': 4.41193595342067e-05, 'epoch': 0.35}
{'loss': 3.8259, 'grad_norm': 18.004846572875977, 'learning_rate': 4.404657933042213e-05, 'epoch': 0.36}
{'loss': 3.9584, 'grad_norm': 18.71149444580078, 'learning_rate': 4.397379912663756e-05, 'epoch': 0.36}
{'loss': 3.8144, 'grad_norm': 22.618091583251953, 'learning_rate': 4.390101892285299e-05, 'epoch': 0.37}
{'loss': 3.8195, 'grad_norm': 19.576200485229492, 'learning_rate': 4.382823871906841e-05, 'epoch': 0.37}
{'loss': 3.6514, 'grad_norm': 17.3233585357666, 'learning_rate': 4.3755458515283843e-05, 'epoch': 0.38}
{'loss': 3.667, 'grad_norm': 18.314640045166016, 'learning_rate': 4.3682678311499274e-05, 'epoch': 0.38}
{'loss': 3.8795, 'grad_norm': 19.18890953063965, 'learning_rate': 4.3609898107714705e-05, 'epoch': 0.38}
{'loss': 3.7277, 'grad_norm': 18.196237564086914, 'learning_rate': 4.3537117903930136e-05, 'epoch': 0.39}
{'loss': 3.7477, 'grad_norm': 20.104726791381836, 'learning_rate': 4.346433770014556e-05, 'epoch': 0.39}
{'loss': 3.656, 'grad_norm': 17.813812255859375, 'learning_rate': 4.339155749636099e-05, 'epoch': 0.4}
{'loss': 3.5445, 'grad_norm': 18.07402801513672, 'learning_rate': 4.331877729257642e-05, 'epoch': 0.4}
{'loss': 3.9157, 'grad_norm': 19.732162475585938, 'learning_rate': 4.324599708879185e-05, 'epoch': 0.41}
{'loss': 3.7108, 'grad_norm': 17.223146438598633, 'learning_rate': 4.3173216885007276e-05, 'epoch': 0.41}
{'loss': 3.8741, 'grad_norm': 18.36798095703125, 'learning_rate': 4.3100436681222714e-05, 'epoch': 0.41}
{'loss': 3.9065, 'grad_norm': 17.2794189453125, 'learning_rate': 4.302765647743814e-05, 'epoch': 0.42}
{'loss': 3.8222, 'grad_norm': 17.284032821655273, 'learning_rate': 4.295487627365357e-05, 'epoch': 0.42}
{'loss': 3.8825, 'grad_norm': 18.827510833740234, 'learning_rate': 4.2882096069869e-05, 'epoch': 0.43}
{'loss': 3.8698, 'grad_norm': 17.816049575805664, 'learning_rate': 4.2809315866084424e-05, 'epoch': 0.43}
{'loss': 3.7888, 'grad_norm': 17.51850700378418, 'learning_rate': 4.273653566229986e-05, 'epoch': 0.44}
{'loss': 3.5994, 'grad_norm': 17.38056182861328, 'learning_rate': 4.2663755458515285e-05, 'epoch': 0.44}
{'loss': 3.8596, 'grad_norm': 16.81218147277832, 'learning_rate': 4.2590975254730716e-05, 'epoch': 0.45}
{'loss': 3.6657, 'grad_norm': 16.760677337646484, 'learning_rate': 4.251819505094615e-05, 'epoch': 0.45}
{'loss': 3.7214, 'grad_norm': 18.83573341369629, 'learning_rate': 4.244541484716157e-05, 'epoch': 0.45}
{'loss': 3.7447, 'grad_norm': 21.845726013183594, 'learning_rate': 4.2372634643377e-05, 'epoch': 0.46}
{'loss': 3.6117, 'grad_norm': 19.32803726196289, 'learning_rate': 4.229985443959243e-05, 'epoch': 0.46}
{'loss': 3.71, 'grad_norm': 18.14021110534668, 'learning_rate': 4.2227074235807864e-05, 'epoch': 0.47}
{'loss': 3.6268, 'grad_norm': 18.364791870117188, 'learning_rate': 4.215429403202329e-05, 'epoch': 0.47}
{'loss': 3.7182, 'grad_norm': 18.514141082763672, 'learning_rate': 4.2081513828238725e-05, 'epoch': 0.48}
{'loss': 3.7349, 'grad_norm': 16.192914962768555, 'learning_rate': 4.200873362445415e-05, 'epoch': 0.48}
{'loss': 3.6936, 'grad_norm': 16.554800033569336, 'learning_rate': 4.193595342066958e-05, 'epoch': 0.48}
{'loss': 3.7571, 'grad_norm': 18.922828674316406, 'learning_rate': 4.186317321688501e-05, 'epoch': 0.49}
{'loss': 3.6668, 'grad_norm': 18.972450256347656, 'learning_rate': 4.1790393013100435e-05, 'epoch': 0.49}
{'loss': 3.6026, 'grad_norm': 18.26788330078125, 'learning_rate': 4.171761280931587e-05, 'epoch': 0.5}
{'loss': 3.6356, 'grad_norm': 17.738569259643555, 'learning_rate': 4.1644832605531297e-05, 'epoch': 0.5}
{'loss': 3.8436, 'grad_norm': 15.874256134033203, 'learning_rate': 4.157205240174673e-05, 'epoch': 0.51}
{'loss': 3.719, 'grad_norm': 18.82025909423828, 'learning_rate': 4.149927219796216e-05, 'epoch': 0.51}
{'loss': 3.7753, 'grad_norm': 18.106536865234375, 'learning_rate': 4.142649199417758e-05, 'epoch': 0.52}
{'loss': 3.7196, 'grad_norm': 18.27841567993164, 'learning_rate': 4.135371179039301e-05, 'epoch': 0.52}
{'loss': 3.7257, 'grad_norm': 14.994392395019531, 'learning_rate': 4.1280931586608444e-05, 'epoch': 0.52}
{'loss': 3.5254, 'grad_norm': 15.894635200500488, 'learning_rate': 4.1208151382823875e-05, 'epoch': 0.53}
{'loss': 3.7616, 'grad_norm': 17.45513916015625, 'learning_rate': 4.1135371179039306e-05, 'epoch': 0.53}
{'loss': 3.7762, 'grad_norm': 16.7005615234375, 'learning_rate': 4.1062590975254736e-05, 'epoch': 0.54}
{'loss': 3.7497, 'grad_norm': 17.650127410888672, 'learning_rate': 4.098981077147016e-05, 'epoch': 0.54}
{'loss': 3.7024, 'grad_norm': 16.229154586791992, 'learning_rate': 4.091703056768559e-05, 'epoch': 0.55}
{'loss': 3.8538, 'grad_norm': 18.16093635559082, 'learning_rate': 4.084425036390102e-05, 'epoch': 0.55}
{'loss': 3.8129, 'grad_norm': 16.857223510742188, 'learning_rate': 4.0771470160116446e-05, 'epoch': 0.55}
{'loss': 3.7833, 'grad_norm': 16.003934860229492, 'learning_rate': 4.0698689956331884e-05, 'epoch': 0.56}
{'loss': 3.6804, 'grad_norm': 20.33062171936035, 'learning_rate': 4.062590975254731e-05, 'epoch': 0.56}
{'loss': 3.6896, 'grad_norm': 19.461931228637695, 'learning_rate': 4.055312954876274e-05, 'epoch': 0.57}
{'loss': 3.7053, 'grad_norm': 18.261768341064453, 'learning_rate': 4.048034934497817e-05, 'epoch': 0.57}
{'loss': 3.6362, 'grad_norm': 16.3055477142334, 'learning_rate': 4.0407569141193593e-05, 'epoch': 0.58}
{'loss': 3.7439, 'grad_norm': 19.336179733276367, 'learning_rate': 4.033478893740903e-05, 'epoch': 0.58}
{'loss': 3.6414, 'grad_norm': 18.21336555480957, 'learning_rate': 4.0262008733624455e-05, 'epoch': 0.59}
{'loss': 3.6406, 'grad_norm': 16.305986404418945, 'learning_rate': 4.0189228529839886e-05, 'epoch': 0.59}
{'loss': 3.6499, 'grad_norm': 17.508358001708984, 'learning_rate': 4.011644832605532e-05, 'epoch': 0.59}
{'loss': 3.6877, 'grad_norm': 16.44900894165039, 'learning_rate': 4.004366812227075e-05, 'epoch': 0.6}
{'loss': 3.6684, 'grad_norm': 14.721494674682617, 'learning_rate': 3.997088791848617e-05, 'epoch': 0.6}
{'loss': 3.6931, 'grad_norm': 17.557331085205078, 'learning_rate': 3.98981077147016e-05, 'epoch': 0.61}
{'loss': 3.6598, 'grad_norm': 15.480236053466797, 'learning_rate': 3.982532751091703e-05, 'epoch': 0.61}
{'loss': 3.7217, 'grad_norm': 16.135677337646484, 'learning_rate': 3.975254730713246e-05, 'epoch': 0.62}
{'loss': 3.7522, 'grad_norm': 20.28831672668457, 'learning_rate': 3.9679767103347895e-05, 'epoch': 0.62}
{'loss': 3.5943, 'grad_norm': 17.70979881286621, 'learning_rate': 3.960698689956332e-05, 'epoch': 0.62}
{'loss': 3.7065, 'grad_norm': 16.47540855407715, 'learning_rate': 3.953420669577875e-05, 'epoch': 0.63}
{'loss': 3.5735, 'grad_norm': 16.378084182739258, 'learning_rate': 3.946142649199418e-05, 'epoch': 0.63}
{'loss': 3.778, 'grad_norm': 16.03565788269043, 'learning_rate': 3.9388646288209605e-05, 'epoch': 0.64}
{'loss': 3.5394, 'grad_norm': 18.288501739501953, 'learning_rate': 3.931586608442504e-05, 'epoch': 0.64}
{'loss': 3.7166, 'grad_norm': 17.963716506958008, 'learning_rate': 3.9243085880640466e-05, 'epoch': 0.65}
{'loss': 3.8794, 'grad_norm': 17.68606185913086, 'learning_rate': 3.91703056768559e-05, 'epoch': 0.65}
{'loss': 3.7663, 'grad_norm': 20.995019912719727, 'learning_rate': 3.909752547307133e-05, 'epoch': 0.66}
{'loss': 3.6664, 'grad_norm': 16.205881118774414, 'learning_rate': 3.902474526928676e-05, 'epoch': 0.66}
{'loss': 3.725, 'grad_norm': 16.274429321289062, 'learning_rate': 3.895196506550218e-05, 'epoch': 0.66}
{'loss': 3.7037, 'grad_norm': 18.93817138671875, 'learning_rate': 3.8879184861717614e-05, 'epoch': 0.67}
{'loss': 3.7174, 'grad_norm': 16.535907745361328, 'learning_rate': 3.8806404657933044e-05, 'epoch': 0.67}
{'loss': 3.7082, 'grad_norm': 17.269474029541016, 'learning_rate': 3.8733624454148475e-05, 'epoch': 0.68}
{'loss': 3.7787, 'grad_norm': 18.939687728881836, 'learning_rate': 3.8660844250363906e-05, 'epoch': 0.68}
{'loss': 3.7002, 'grad_norm': 18.299976348876953, 'learning_rate': 3.858806404657933e-05, 'epoch': 0.69}
{'loss': 3.6766, 'grad_norm': 15.257540702819824, 'learning_rate': 3.851528384279476e-05, 'epoch': 0.69}
{'loss': 3.6408, 'grad_norm': 13.39669418334961, 'learning_rate': 3.844250363901019e-05, 'epoch': 0.69}
{'loss': 3.6748, 'grad_norm': 21.20761489868164, 'learning_rate': 3.8369723435225616e-05, 'epoch': 0.7}
{'loss': 3.6106, 'grad_norm': 16.75111198425293, 'learning_rate': 3.829694323144105e-05, 'epoch': 0.7}
{'loss': 3.7618, 'grad_norm': 17.71019744873047, 'learning_rate': 3.822416302765648e-05, 'epoch': 0.71}
{'loss': 3.4642, 'grad_norm': 16.822113037109375, 'learning_rate': 3.815138282387191e-05, 'epoch': 0.71}
{'loss': 3.6288, 'grad_norm': 16.829931259155273, 'learning_rate': 3.807860262008734e-05, 'epoch': 0.72}
{'loss': 3.4482, 'grad_norm': 15.427820205688477, 'learning_rate': 3.800582241630277e-05, 'epoch': 0.72}
{'loss': 3.6102, 'grad_norm': 15.435442924499512, 'learning_rate': 3.79330422125182e-05, 'epoch': 0.72}
{'loss': 3.7689, 'grad_norm': 18.307912826538086, 'learning_rate': 3.7860262008733625e-05, 'epoch': 0.73}
{'loss': 3.6146, 'grad_norm': 17.162391662597656, 'learning_rate': 3.7787481804949055e-05, 'epoch': 0.73}
{'loss': 3.7253, 'grad_norm': 17.52896499633789, 'learning_rate': 3.7714701601164486e-05, 'epoch': 0.74}
{'loss': 3.7015, 'grad_norm': 16.791913986206055, 'learning_rate': 3.764192139737992e-05, 'epoch': 0.74}
{'loss': 3.6583, 'grad_norm': 17.716922760009766, 'learning_rate': 3.756914119359534e-05, 'epoch': 0.75}
{'loss': 3.7394, 'grad_norm': 17.845523834228516, 'learning_rate': 3.749636098981077e-05, 'epoch': 0.75}
{'loss': 3.6242, 'grad_norm': 17.04828643798828, 'learning_rate': 3.74235807860262e-05, 'epoch': 0.76}
{'loss': 3.6188, 'grad_norm': 19.77461814880371, 'learning_rate': 3.735080058224163e-05, 'epoch': 0.76}
{'loss': 3.5289, 'grad_norm': 16.963932037353516, 'learning_rate': 3.7278020378457064e-05, 'epoch': 0.76}
{'loss': 3.5917, 'grad_norm': 16.83084487915039, 'learning_rate': 3.721251819505095e-05, 'epoch': 0.77}
{'loss': 3.6184, 'grad_norm': 14.991363525390625, 'learning_rate': 3.7139737991266376e-05, 'epoch': 0.77}
{'loss': 3.6032, 'grad_norm': 14.75291919708252, 'learning_rate': 3.7066957787481806e-05, 'epoch': 0.78}
{'loss': 3.7599, 'grad_norm': 17.392356872558594, 'learning_rate': 3.699417758369724e-05, 'epoch': 0.78}
{'loss': 3.739, 'grad_norm': 15.02147388458252, 'learning_rate': 3.692139737991266e-05, 'epoch': 0.79}
{'loss': 3.7949, 'grad_norm': 16.526857376098633, 'learning_rate': 3.68486171761281e-05, 'epoch': 0.79}
{'loss': 3.7958, 'grad_norm': 17.493566513061523, 'learning_rate': 3.677583697234352e-05, 'epoch': 0.79}
{'loss': 3.6168, 'grad_norm': 16.651966094970703, 'learning_rate': 3.6703056768558954e-05, 'epoch': 0.8}
{'loss': 3.6797, 'grad_norm': 18.98206901550293, 'learning_rate': 3.6630276564774385e-05, 'epoch': 0.8}
{'loss': 3.665, 'grad_norm': 16.265493392944336, 'learning_rate': 3.6557496360989815e-05, 'epoch': 0.81}
